 Name                           Version          License                                                                                           Author                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   URL                                                                                            Description                                                                                                                                                                                                                                                                       
 PyQt6-Qt6                      6.9.1            LGPL v3                                                                                           Riverbank Computing Limited                                                                                                                                                                                                                                                                                                                                                                                                                                                                              https://www.riverbankcomputing.com/software/pyqt/                                              The subset of a Qt installation needed by PyQt6.                                                                                                                                                                                                                                  
 PyQt6_sip                      13.10.2          BSD-2-Clause                                                                                      Phil Thompson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            https://github.com/Python-SIP/sip                                                              The sip module support for PyQt6                                                                                                                                                                                                                                                  
 PySocks                        1.7.1            BSD                                                                                               Anorov                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   https://github.com/Anorov/PySocks                                                              A Python SOCKS client module. See https://github.com/Anorov/PySocks for more information.                                                                                                                                                                                         
 PyYAML                         6.0.2            MIT License                                                                                       Kirill Simonov                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://pyyaml.org/                                                                            YAML parser and emitter for Python                                                                                                                                                                                                                                                
 Pygments                       2.19.2           BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://pygments.org                                                                           Pygments is a syntax highlighting package written in Python.                                                                                                                                                                                                                      
 QtPy                           2.4.3            MIT License                                                                                       Colin Duquesnoy and the Spyder Development Team                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/spyder-ide/qtpy                                                             Provides an abstraction layer on top of the various Qt bindings (PyQt5/6 and PySide2/6).                                                                                                                                                                                          
 SQLAlchemy                     2.0.43           MIT                                                                                               Mike Bayer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               https://www.sqlalchemy.org                                                                     Database Abstraction Library                                                                                                                                                                                                                                                      
 Send2Trash                     1.8.3            BSD License                                                                                       Andrew Senetar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://github.com/arsenetar/send2trash                                                        Send file to trash natively under Mac OS X, Windows and Linux                                                                                                                                                                                                                     
 Sphinx                         8.1.3            BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://www.sphinx-doc.org/                                                                    Python documentation generator                                                                                                                                                                                                                                                    
 Werkzeug                       3.1.3            BSD License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  UNKNOWN                                                                                        The comprehensive WSGI web application library.                                                                                                                                                                                                                                   
 absl-py                        2.3.1            Apache Software License                                                                           The Abseil Authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       https://github.com/abseil/abseil-py                                                            Abseil Python Common Libraries, see https://github.com/abseil/abseil-py.                                                                                                                                                                                                          
 accelerate                     1.10.0           Apache Software License                                                                           The HuggingFace team                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     https://github.com/huggingface/accelerate                                                      Accelerate                                                                                                                                                                                                                                                                        
 addict                         2.4.0            MIT License                                                                                       Mats Julian Olsen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        https://github.com/mewwts/addict                                                               Addict is a dictionary whose items can be set using both attribute and item syntax.                                                                                                                                                                                               
 aiohappyeyeballs               2.6.1            Python Software Foundation License                                                                J. Nick Koston                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://github.com/aio-libs/aiohappyeyeballs                                                   Happy Eyeballs for asyncio                                                                                                                                                                                                                                                        
 aiohttp                        3.12.15          Apache-2.0 AND MIT                                                                                UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/aio-libs/aiohttp                                                            Async http client/server framework (asyncio)                                                                                                                                                                                                                                      
 aiosignal                      1.4.0            Apache Software License                                                                           UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/aio-libs/aiosignal                                                          aiosignal: a list of registered asynchronous callbacks                                                                                                                                                                                                                            
 alabaster                      1.0.0            BSD License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://alabaster.readthedocs.io/                                                              A light, configurable Sphinx theme                                                                                                                                                                                                                                                
 alembic                        1.16.4           UNKNOWN                                                                                           Mike Bayer <mike_mp@zzzcomputing.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                    https://alembic.sqlalchemy.org                                                                 A database migration tool for SQLAlchemy.                                                                                                                                                                                                                                         
 annotated-types                0.7.0            MIT License                                                                                       Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Samuel Colvin <s@muelcolvin.com>, Zac Hatfield-Dodds <zac@zhd.dev>                                                                                                                                                                                                                                                                                                                                                                  https://github.com/annotated-types/annotated-types                                             Reusable constraint types to use with typing.Annotated                                                                                                                                                                                                                            
 anyio                          4.10.0           UNKNOWN                                                                                           Alex Grönholm <alex.gronholm@nextday.fi>                                                                                                                                                                                                                                                                                                                                                                                                                                                                 https://anyio.readthedocs.io/en/stable/versionhistory.html                                     High-level concurrency and networking framework on top of asyncio or Trio                                                                                                                                                                                                         
 anywidget                      0.9.18           MIT License                                                                                       Trevor Manz <trevor.j.manz@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                    https://github.com/manzt/anywidget                                                             custom jupyter widgets made easy                                                                                                                                                                                                                                                  
 appnope                        0.1.4            BSD License                                                                                       Min Ragan-Kelley                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         http://github.com/minrk/appnope                                                                Disable App Nap on macOS >= 10.9                                                                                                                                                                                                                                                  
 argon2-cffi                    25.1.0           UNKNOWN                                                                                           Hynek Schlawack <hs@ox.cx>                                                                                                                                                                                                                                                                                                                                                                                                                                                                               https://github.com/hynek/argon2-cffi/blob/main/CHANGELOG.md                                    Argon2 for Python                                                                                                                                                                                                                                                                 
 argon2-cffi-bindings           25.1.0           UNKNOWN                                                                                           Hynek Schlawack <hs@ox.cx>                                                                                                                                                                                                                                                                                                                                                                                                                                                                               https://github.com/hynek/argon2-cffi-bindings/blob/main/CHANGELOG.md                           Low-level CFFI bindings for Argon2                                                                                                                                                                                                                                                
 arrow                          1.3.0            Apache Software License                                                                           Chris Smith <crsmithdev@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                       https://github.com/arrow-py/arrow                                                              Better dates & times for Python                                                                                                                                                                                                                                                   
 asttokens                      3.0.0            Apache 2.0                                                                                        Dmitry Sagalovskiy, Grist Labs                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://github.com/gristlabs/asttokens                                                         Annotate AST trees with source code positions                                                                                                                                                                                                                                     
 async-lru                      2.0.5            MIT License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/aio-libs/async-lru                                                          Simple LRU cache for asyncio                                                                                                                                                                                                                                                      
 async-timeout                  5.0.1            Apache Software License                                                                           Andrew Svetlov <andrew.svetlov@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                https://github.com/aio-libs/async-timeout                                                      Timeout context manager for asyncio programs                                                                                                                                                                                                                                      
 attrs                          25.3.0           UNKNOWN                                                                                           Hynek Schlawack <hs@ox.cx>                                                                                                                                                                                                                                                                                                                                                                                                                                                                               https://www.attrs.org/en/stable/changelog.html                                                 Classes Without Boilerplate                                                                                                                                                                                                                                                       
 autopep8                       2.3.2            MIT License                                                                                       Hideo Hattori <hhatto.jp@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://github.com/hhatto/autopep8                                                             A tool that automatically formats Python code to conform to the PEP 8 style guide                                                                                                                                                                                                 
 babel                          2.17.0           BSD License                                                                                       Armin Ronacher                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://babel.pocoo.org/                                                                       Internationalization utilities                                                                                                                                                                                                                                                    
 bbox_visualizer                0.2.2            MIT License                                                                                       Shoumik Sharar Chowdhury <shoumikchow@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                         https://github.com/shoumikchow/bbox-visualizer                                                 Different ways of visualizing objects given bounding box data                                                                                                                                                                                                                     
